OK   | seed=0 | style=paraphrase_formal | crop=Pea | q=What are the common root diseases that affect pea plants and what are 
OK   | seed=0 | style=paraphrase_regional_hindi | crop=Pea | q=Matar ki phal me jal ki bimari kyun hoti hai aur unke upchaar kaise ka
OK   | seed=0 | style=paraphrase_formal | crop=Pea | q=What are the common root diseases that affect pea plants, and what are
OK   | seed=0 | style=paraphrase_farmer_style | crop=Pea | q=khet me jeene wale moong ke akar bimariyan kyun hoti hain aur unse kai
OK   | seed=0 | style=paraphrase_short | crop=Pea | q=How to manage pea root diseases?
OK   | seed=0 | style=paraphrase_problem_description | crop=Pea | q=My pea plants are showing yellowing of lower leaves and stunted growth
OK   | seed=0 | style=paraphrase_followup | crop=Pea | q=You mentioned treating seeds with Pseudomonas fluorescens — what is th
OK   | seed=0 | style=paraphrase_yes_no | crop=Pea | q=Can root diseases affect pea cultivation?
OK   | seed=0 | style=paraphrase_preventive | crop=Pea | q=How can I prevent root diseases in peas before sowing?
OK   | seed=0 | style=paraphrase_comparison | crop=Pea | q=What is the difference between Fusarium oxysporum and Rhizoctonia sola
OK   | seed=0 | style=paraphrase_cause | crop=Pea | q=What causes root diseases in peas and how do they affect the plants?
OK   | seed=0 | style=paraphrase_quantity_focused | crop=Pea | q=What is the recommended seed treatment dosage of Pseudomonas fluoresce
OK   | seed=0 | style=paraphrase_timing_focused | crop=Pea | q=At what stage of pea growth should I treat seeds with Pseudomonas fluo
OK   | seed=0 | style=paraphrase_regional_hindi | crop=Pea | q=Matar ki jameen me kya root diseases hoti hai aur unke upchar kaise ka
OK   | seed=0 | style=paraphrase_formal | crop=Pea | q=What are the common root diseases that affect pea crops, and what are 
SKIP | seed=0 | style=paraphrase_farmer_style | crop=Pea | q=What are the typical root diseases affecting peas and what a
OK   | seed=0 | style=paraphrase_short | crop=Pea | q=How to manage pea root diseases?
OK   | seed=0 | style=paraphrase_problem_description | crop=Pea | q=My pea plants are showing yellowing on the lower leaves, and they are 
OK   | seed=0 | style=paraphrase_followup | crop=Pea | q=You mentioned treating the seed with Pseudomonas fluorescens — what is
OK   | seed=0 | style=paraphrase_yes_no | crop=Pea | q=Can root diseases affect pea cultivation?
OK   | seed=0 | style=paraphrase_preventive | crop=Pea | q=How can I prevent root diseases in peas before sowing?
OK   | seed=0 | style=paraphrase_comparison | crop=Pea | q=What is the difference between Fusarium oxysporum and Rhizoctonia sola
OK   | seed=0 | style=paraphrase_cause | crop=Pea | q=What causes root diseases in peas and how do they affect the plants?
OK   | seed=0 | style=paraphrase_quantity_focused | crop=Pea | q=What is the recommended dosage of Pseudomonas fluorescens for seed tre
OK   | seed=0 | style=paraphrase_timing_focused | crop=Pea | q=At what stage of pea growth should I apply seed treatment with Pseudom
OK   | seed=0 | style=paraphrase_regional_hindi | crop=Pea | q=Matar ki uthani me kya akshar rogi hoti hai aur unka kya upaay hai?
OK   | seed=0 | style=paraphrase_formal | crop=Pea | q=What are the common root diseases that affect pea crops, and what are 
OK   | seed=0 | style=paraphrase_farmer_style | crop=Pea | q=khet me moong ki akali problem kyun hoti hai aur uske ilaj ka kya tare
OK   | seed=0 | style=paraphrase_short | crop=Pea | q=How to manage pea root diseases?
OK   | seed=0 | style=paraphrase_problem_description | crop=Pea | q=My pea plants are showing yellowing on the lower leaves, stunted growt
OK   | seed=0 | style=paraphrase_followup | crop=Pea | q=You mentioned treating seeds with Pseudomonas fluorescens — what is th
OK   | seed=0 | style=paraphrase_yes_no | crop=Pea | q=Can root diseases significantly affect pea cultivation?
OK   | seed=0 | style=paraphrase_preventive | crop=Pea | q=How can I prevent root diseases in peas before sowing?
OK   | seed=0 | style=paraphrase_comparison | crop=Pea | q=What is the difference between Fusarium oxysporum and Rhizoctonia sola
OK   | seed=0 | style=paraphrase_cause | crop=Pea | q=What causes root diseases in peas and how do these diseases affect the
OK   | seed=0 | style=paraphrase_quantity_focused | crop=Pea | q=What is the recommended dosage of Pseudomonas fluorescens for seed tre
OK   | seed=0 | style=paraphrase_timing_focused | crop=Pea | q=At what stage of pea growth should I apply seed treatment with Pseudom
OK   | seed=0 | style=paraphrase_regional_hindi | crop=Pea | q=Matar ki jameen mein kya root diseases hoti hain aur unka kya upay hai
OK   | seed=0 | style=paraphrase_formal | crop=Pea | q=What are the common root diseases that affect pea plants and what are 
OK   | seed=1 | style=paraphrase_formal | crop=Maize Makka | q=What is the recommended composition of NP(S) 20-20-13 fertilizer and m
OK   | seed=1 | style=paraphrase_farmer_style | crop=Maize Makka | q=Maize ke khet mein 20:20:13 NPK aur magnesium sulphate ka kya spray ka
OK   | seed=1 | style=paraphrase_short | crop=Maize Makka | q=What is the foliar spray composition for maize in Punjab?
OK   | seed=1 | style=paraphrase_problem_description | crop=Maize Makka | q=My maize crop is showing yellowing leaves and stunted growth. What sho
OK   | seed=1 | style=paraphrase_followup | crop=Maize Makka | q=You said that NP(S) 20-20-0-13 should not be used as a foliar spray — 
OK   | seed=1 | style=paraphrase_yes_no | crop=Maize Makka | q=Can NP(S) 20-20-0-13 be used as a foliar spray on maize?
OK   | seed=1 | style=paraphrase_preventive | crop=Maize Makka | q=How can I prevent nutrient deficiency in maize crops using NP(S) 20-20
SKIP | seed=1 | style=paraphrase_comparison | crop=Maize Makka | q=What is the recommended foliar spray composition of NPK 20:2
OK   | seed=1 | style=paraphrase_cause | crop=Maize Makka | q=Why is NP(S) 20-20-0-13 not recommended for foliar spray in maize crop
OK   | seed=1 | style=paraphrase_quantity_focused | crop=Maize Makka | q=What is the recommended dosage of NP(S) 20-20-0-13 fertilizer per acre
OK   | seed=1 | style=paraphrase_timing_focused | crop=Maize Makka | q=When should NP(S) 20-20-0-13 fertilizer be applied for maize crop?
OK   | seed=1 | style=paraphrase_regional_hindi | crop=Maize Makka | q=Makka ke khet mein NPK 20:20:13 aur magnesiyam sulfat ke liye kya foli
OK   | seed=1 | style=paraphrase_formal | crop=Maize Makka | q=What is the recommended composition of NP(S) 20-20-13 fertilizer and m
OK   | seed=1 | style=paraphrase_farmer_style | crop=Maize Makka | q=Khet mein makka ke liye NPK 20:20:13 aur magnesium sulphate ka kya chh
OK   | seed=1 | style=paraphrase_short | crop=Maize Makka | q=What is the foliar spray for maize in Punjab?
OK   | seed=1 | style=paraphrase_problem_description | crop=Maize Makka | q=My maize crop is showing yellowing leaves and stunted growth. What cou
OK   | seed=1 | style=paraphrase_followup | crop=Maize Makka | q=You mentioned that NP(S) 20-20-0-13 should not be used as a foliar spr
OK   | seed=1 | style=paraphrase_yes_no | crop=Maize Makka | q=Can NP(S) 20-20-0-13 be used as a foliar spray for maize?
OK   | seed=1 | style=paraphrase_preventive | crop=Maize Makka | q=How can I prevent sulphur deficiency in maize crop using magnesium sul
SKIP | seed=1 | style=paraphrase_comparison | crop=Maize Makka | q=What is the recommended foliar spray composition of NPK 20:2
OK   | seed=1 | style=paraphrase_cause | crop=Maize Makka | q=What causes the recommendation against using NPK 20:20:13 and magnesiu
OK   | seed=1 | style=paraphrase_quantity_focused | crop=Maize Makka | q=What is the recommended dosage of NP(S) 20-20-0-13 fertilizer per acre
OK   | seed=1 | style=paraphrase_timing_focused | crop=Maize Makka | q=When should NP(S) 20-20-0-13 fertilizer be applied for maize crop?
OK   | seed=1 | style=paraphrase_regional_hindi | crop=Maize Makka | q=Khet me 20:20:13 NPK aur magnesium sulphate ka kya foliar spray ka com
OK   | seed=1 | style=paraphrase_formal | crop=Maize Makka | q=What is the recommended composition of NP(S) 20-20-13 fertilizer and m
OK   | seed=1 | style=paraphrase_farmer_style | crop=Maize Makka | q=Makka khe te kya 20:20:13 chawal kheti k liye kya dawai daali jaaye? M
OK   | seed=1 | style=paraphrase_short | crop=Maize Makka | q=What is the foliar spray composition for maize in Punjab?
OK   | seed=1 | style=paraphrase_problem_description | crop=Maize Makka | q=My maize plants are showing yellowing leaves and stunted growth. What 
OK   | seed=1 | style=paraphrase_followup | crop=Maize Makka | q=You said that NP(S) 20-20-0-13 should be applied during sowing through
OK   | seed=1 | style=paraphrase_yes_no | crop=Maize Makka | q=Can NP(S) 20-20-0-13 be used as a foliar spray for maize?
OK   | seed=1 | style=paraphrase_preventive | crop=Maize Makka | q=How can I prevent nutrient deficiencies in maize crops in Punjab?
SKIP | seed=1 | style=paraphrase_comparison | crop=Maize Makka | q=What is the recommended foliar spray composition of NPK 20:2
OK   | seed=1 | style=paraphrase_cause | crop=Maize Makka | q=What causes the recommendation against using NPK 20:20:13 and magnesiu
OK   | seed=1 | style=paraphrase_quantity_focused | crop=Maize Makka | q=What is the recommended dosage of NP(S) 20-20-0-13 fertilizer per acre
OK   | seed=1 | style=paraphrase_timing_focused | crop=Maize Makka | q=When should NP(S) 20-20-0-13 fertilizer be applied for maize crop in P
OK   | seed=1 | style=paraphrase_regional_hindi | crop=Maize Makka | q=Makka ke kheta mein NPK 20:20:13 aur magnesium sulphate ke liye kya fo
OK   | seed=1 | style=paraphrase_formal | crop=Maize Makka | q=What is the recommended composition of NPK 20:20:13 and magnesium sulp
OK   | seed=1 | style=paraphrase_farmer_style | crop=Maize Makka | q=Makka ke khet mein NPK 20:20:13 aur magnesium sulphate ke liye kya fol
OK   | seed=1 | style=paraphrase_short | crop=Maize Makka | q=What is the foliar spray for maize in Punjab?
OK   | seed=1 | style=paraphrase_problem_description | crop=Maize Makka | q=My maize crop is showing yellowing leaves and stunted growth. What cou
OK   | seed=1 | style=paraphrase_followup | crop=Maize Makka | q=You mentioned that NP(S) 20-20-0-13 should be applied during sowing — 
OK   | seed=1 | style=paraphrase_yes_no | crop=Maize Makka | q=Can NP(S) 20-20-0-13 be used as a foliar spray for maize?
OK   | seed=1 | style=paraphrase_preventive | crop=Maize Makka | q=How can I prevent nutrient deficiencies in maize crops using NPK 20:20
SKIP | seed=1 | style=paraphrase_comparison | crop=Maize Makka | q=What is the recommended foliar spray composition of NPK 20:2
OK   | seed=1 | style=paraphrase_cause | crop=Maize Makka | q=What causes the recommendation against using NP(S) 20-20-0-13 as a fol
OK   | seed=1 | style=paraphrase_quantity_focused | crop=Maize Makka | q=What is the recommended dosage of NP(S) 20-20-0-13 fertilizer per acre
OK   | seed=1 | style=paraphrase_timing_focused | crop=Maize Makka | q=When should NP(S) 20-20-0-13 fertilizer be applied for maize crop?
OK   | seed=1 | style=paraphrase_regional_hindi | crop=Maize Makka | q=Makka ke kheta mein NPK 20:20:13 aur magnesium sulphate ke liye kya fo
OK   | seed=1 | style=paraphrase_formal | crop=Maize Makka | q=What is the recommended composition of NPK 20:20:13 and magnesium sulp
OK   | seed=1 | style=paraphrase_farmer_style | crop=Maize Makka | q=Makka ke kheta mein NPK 20:20:13 aur magnesim sulfa ke kheti ke liye k
OK   | seed=1 | style=paraphrase_short | crop=Maize Makka | q=What is the foliar spray composition for maize in Punjab?
OK   | seed=1 | style=paraphrase_problem_description | crop=Maize Makka | q=My maize crop is showing yellowing leaves and poor growth. What could 
OK   | seed=1 | style=paraphrase_followup | crop=Maize Makka | q=You mentioned that NP(S) 20-20-0-13 should be applied during sowing th
OK   | seed=1 | style=paraphrase_yes_no | crop=Maize Makka | q=Can NP(S) 20-20-0-13 be used as a foliar spray on maize?
OK   | seed=1 | style=paraphrase_preventive | crop=Maize Makka | q=How can I prevent nutrient deficiencies in maize crops in Punjab?
SKIP | seed=1 | style=paraphrase_comparison | crop=Maize Makka | q=What is the recommended foliar spray composition of NPK 20:2
OK   | seed=1 | style=paraphrase_cause | crop=Maize Makka | q=Why is NP(S) 20-20-0-13 not recommended for foliar spray in maize crop
OK   | seed=1 | style=paraphrase_quantity_focused | crop=Maize Makka | q=What is the recommended dosage of NP(S) 20-20-0-13 fertilizer per acre
OK   | seed=1 | style=paraphrase_timing_focused | crop=Maize Makka | q=When should NP(S) 20-20-0-13 fertilizer be applied for maize crop in P
OK   | seed=1 | style=paraphrase_regional_hindi | crop=Maize Makka | q=Makka ke khet mein NPK 20:20:13 aur magnesium sulphate ke liye kya fol
OK   | seed=1 | style=paraphrase_formal | crop=Maize Makka | q=What is the recommended composition of NPK 20:20:13 and magnesium sulp
OK   | seed=1 | style=paraphrase_farmer_style | crop=Maize Makka | q=Maize ke khet mein NPK 20:20:13 aur magnesium sulphate ka kya chakkar 
OK   | seed=1 | style=paraphrase_short | crop=Maize Makka | q=What is the foliar spray ratio for NPK 20:20:13 and magnesium sulphate
OK   | seed=1 | style=paraphrase_problem_description | crop=Maize Makka | q=My maize crop is showing yellowing leaves and poor growth. What should
OK   | seed=1 | style=paraphrase_followup | crop=Maize Makka | q=You mentioned that NP(S) 20-20-0-13 should not be used as a foliar spr
