OK   | seed=0 | style=paraphrase_formal | call=1 | focus=unknown | q=Can the infestation of termites (deemak/geda) in wheat crops
OK   | seed=0 | style=paraphrase_yes_no | call=1 | focus=unknown | q=Can Chlorpyrifos 20% EC be used for termite control in stand
DUPE | seed=0 | style=paraphrase_yes_no | q=Should Chlorpyrifos 20% EC be used for termite control in st
OK   | seed=0 | style=paraphrase_yes_no | call=3 | focus=unknown | q=What is the correct method for treating wheat seeds to preve
OK   | seed=0 | style=paraphrase_yes_no | call=4 | focus=unknown | q=Is deep summer ploughing recommended for managing termite in
OK   | seed=0 | style=paraphrase_yes_no | call=5 | focus=unknown | q=Does deep summer ploughing help manage termite infestation i
OK   | seed=0 | style=paraphrase_yes_no | call=6 | focus=unknown | q=Are termites a major threat to wheat crops in Uttar Pradesh?
OK   | seed=0 | style=paraphrase_preventive | call=1 | focus=unknown | q=Can proper soil preparation help prevent termite infestation
OK   | seed=0 | style=paraphrase_preventive | call=2 | focus=unknown | q=Should farmers take any preventive measures to avoid termite
OK   | seed=0 | style=paraphrase_preventive | call=3 | focus=unknown | q=What is the best way to prevent termite infestation in wheat
OK   | seed=0 | style=paraphrase_preventive | call=4 | focus=unknown | q=Is there a way to prevent termite infestation in wheat field
OK   | seed=0 | style=paraphrase_preventive | call=5 | focus=unknown | q=Does proper soil preparation help prevent termite infestatio
OK   | seed=0 | style=paraphrase_comparison | call=1 | focus=seed_treatment | q=Can Chlorpyrifos 20% EC and thiomethoxam 30% FS be used for 
OK   | seed=0 | style=paraphrase_comparison | call=2 | focus=unknown | q=Should Chlorpyrifos 20% EC or Beauveria bassiana 1.15% be us
OK   | seed=0 | style=paraphrase_comparison | call=3 | focus=unknown | q=What is the difference between the biopesticides Beauvaria b
OK   | seed=0 | style=paraphrase_comparison | call=4 | focus=unknown | q=Is Chlorpyrifos 20% EC or Beauveria bassiana 1.15% more effe
OK   | seed=0 | style=paraphrase_comparison | call=5 | focus=unknown | q=Does Chlorpyriphos 20% EC work better than Beauvaria bassian
OK   | seed=0 | style=paraphrase_cause | call=1 | focus=pathogen_name | q=Can termite infestation in wheat crops be caused by certain 
OK   | seed=0 | style=paraphrase_cause | call=2 | focus=unknown | q=Why do termites cause damage to wheat crops in Uttar Pradesh
OK   | seed=0 | style=paraphrase_cause | call=3 | focus=unknown | q=What is the cause of termite infestation in wheat crops in U
OK   | seed=0 | style=paraphrase_cause | call=4 | focus=pathogen_name | q=Is the presence of termites in wheat fields caused by specif
OK   | seed=0 | style=paraphrase_cause | call=5 | focus=soil_condition | q=Does termite infestation in wheat happen because of certain 
OK   | seed=0 | style=paraphrase_quantity_focused | call=1 | focus=dosage_quantity | q=Can 1 kg per acre of Beauvaria bassiana 1.15% be used for te
OK   | seed=0 | style=paraphrase_quantity_focused | call=2 | focus=dosage_quantity | q=How much Chlorpyrifos 20% EC should be used per acre for ter
OK   | seed=0 | style=paraphrase_quantity_focused | call=3 | focus=dosage_quantity | q=What is the quantity of Chlorpyrifos 20% EC required per acr
OK   | seed=0 | style=paraphrase_quantity_focused | call=4 | focus=dosage_quantity | q=Is 1 kg per acre of Beauvaria bassiana 1.15% sufficient for 
OK   | seed=0 | style=paraphrase_quantity_focused | call=5 | focus=irrigation_method | q=Does Chlorpyrifos 20% EC need to be mixed with irrigation wa
OK   | seed=0 | style=paraphrase_timing_focused | call=1 | focus=application_timing | q=When is the best time to apply Chlorpyrifos 20% EC for termi
OK   | seed=0 | style=paraphrase_timing_focused | call=2 | focus=unknown | q=When should termite control measures be applied in wheat cro
DUPE | seed=0 | style=paraphrase_timing_focused | q=What is the best time to apply Chlorpyrifos 20% EC for termi
OK   | seed=0 | style=paraphrase_timing_focused | call=4 | focus=unknown | q=Is there a specific time during the wheat crop cycle when te
OK   | seed=0 | style=paraphrase_timing_focused | call=5 | focus=unknown | q=Does termite infestation affect wheat during sowing time?
OK   | seed=0 | style=paraphrase_timing_focused | call=6 | focus=unknown | q=When should Chlorpyrifos 20% EC be applied for termite contr
OK   | seed=1 | style=paraphrase_formal | call=1 | focus=unknown | q=Are there specific management strategies for controlling the
OK   | seed=1 | style=paraphrase_formal | call=2 | focus=unknown | q=What are the recommended methods for managing the Gundhi Bug
OK   | seed=1 | style=paraphrase_formal | call=3 | focus=unknown | q=Which control measures are recommended for managing Naavaai 
OK   | seed=1 | style=paraphrase_formal | call=4 | focus=application_timing | q=When is the optimal time to apply insecticides for managing 
OK   | seed=1 | style=paraphrase_formal | call=5 | focus=unknown | q=Why does the Gundhi Bug cause damage to paddy fields?
OK   | seed=1 | style=paraphrase_short | call=1 | focus=unknown | q=Are there chemical controls for Gundhi Bug in paddy?
OK   | seed=1 | style=paraphrase_short | call=2 | focus=unknown | q=What is the ETL for Gundhi Bug in paddy?
OK   | seed=1 | style=paraphrase_short | call=3 | focus=unknown | q=Which control measures are recommended for Gundhi Bug in pad
OK   | seed=1 | style=paraphrase_short | call=4 | focus=unknown | q=When should insecticides be applied for Gundhi Bug in paddy?
OK   | seed=1 | style=paraphrase_short | call=5 | focus=unknown | q=Why use Malathion 50% EC for Gundhi Bug?
OK   | seed=1 | style=paraphrase_problem_description | call=1 | focus=symptom_detail | q=Are the grains in my paddy field turning discolored and shri
OK   | seed=1 | style=paraphrase_problem_description | call=2 | focus=symptom_detail | q=What are the visible signs of damage in my paddy field, and 
OK   | seed=1 | style=paraphrase_problem_description | call=3 | focus=symptom_detail | q=Which pests are causing shriveled and discolored grains in m
OK   | seed=1 | style=paraphrase_problem_description | call=4 | focus=symptom_detail | q=When I see some of the grains in my paddy field are light an
OK   | seed=1 | style=paraphrase_problem_description | call=5 | focus=symptom_detail | q=Why are some of my rice grains shriveled and light in weight
OK   | seed=1 | style=paraphrase_followup | call=1 | focus=unknown | q=Are there any specific times of day when it is best to apply
OK   | seed=1 | style=paraphrase_followup | call=2 | focus=application_timing | q=What is the recommended time to apply insecticides for manag
OK   | seed=1 | style=paraphrase_followup | call=3 | focus=chemical_name | q=Which chemical is recommended for severe infestations of Gun
OK   | seed=1 | style=paraphrase_followup | call=4 | focus=unknown | q=When should the KKM dust formulation be applied for managing
OK   | seed=1 | style=paraphrase_followup | call=5 | focus=unknown | q=Why is the ETL important for managing Gundhi Bug?
OK   | seed=1 | style=paraphrase_yes_no | call=1 | focus=unknown | q=Are insecticides recommended for managing Naavaai Poochi in 
OK   | seed=1 | style=paraphrase_yes_no | call=2 | focus=unknown | q=What is the recommended timing for applying insecticides to 
OK   | seed=1 | style=paraphrase_yes_no | call=3 | focus=unknown | q=Which control measure is recommended for severe infestations
OK   | seed=1 | style=paraphrase_yes_no | call=4 | focus=unknown | q=When should insecticides be applied to manage Gundhi Bug in 
OK   | seed=1 | style=paraphrase_yes_no | call=5 | focus=unknown | q=Why should farmers avoid spraying insecticides during flower
OK   | seed=1 | style=paraphrase_preventive | call=1 | focus=unknown | q=Are there any cultural practices to prevent the occurrence o
OK   | seed=1 | style=paraphrase_preventive | call=2 | focus=unknown | q=What steps can be taken to prevent the occurrence of Gundhi 
OK   | seed=1 | style=paraphrase_preventive | call=3 | focus=unknown | q=Which cultural practices can be adopted to prevent the occur
OK   | seed=1 | style=paraphrase_preventive | call=4 | focus=unknown | q=When should paddy fields be managed to prevent infestation b
OK   | seed=1 | style=paraphrase_preventive | call=5 | focus=unknown | q=Why should I remove alternate host plants to prevent Gundhi 
OK   | seed=1 | style=paraphrase_comparison | call=1 | focus=unknown | q=Are there differences in the effectiveness of chemical and b
OK   | seed=1 | style=paraphrase_comparison | call=2 | focus=unknown | q=What are the differences between the chemical control option
OK   | seed=1 | style=paraphrase_comparison | call=3 | focus=unknown | q=Which is more effective for controlling Naavaai Poochi in pa
OK   | seed=1 | style=paraphrase_comparison | call=4 | focus=unknown | q=When should farmers apply insecticides for managing Gundhi B
OK   | seed=1 | style=paraphrase_comparison | call=5 | focus=unknown | q=Why should farmers use Neem seed kernel extract instead of c
OK   | seed=1 | style=paraphrase_cause | call=1 | focus=pathogen_name | q=Are Gundhi Bugs in paddy fields caused by specific environme
OK   | seed=1 | style=paraphrase_cause | call=2 | focus=unknown | q=What causes the damage to paddy grains from the Naavaai Pooc
OK   | seed=1 | style=paraphrase_cause | call=3 | focus=unknown | q=Which factors cause the Rice Stink Bug to damage paddy crops
OK   | seed=1 | style=paraphrase_cause | call=4 | focus=unknown | q=When does the Gundhi Bug become a threat to paddy crops, and
OK   | seed=1 | style=paraphrase_cause | call=5 | focus=unknown | q=Why do Gundhi Bugs attack paddy fields?
OK   | seed=1 | style=paraphrase_quantity_focused | call=1 | focus=dosage_quantity | q=Are 200 ml of Malathion 50% EC applied per acre for controll
OK   | seed=1 | style=paraphrase_quantity_focused | call=2 | focus=dosage_quantity | q=What is the recommended dosage of Malathion 50% EC for contr
OK   | seed=1 | style=paraphrase_quantity_focused | call=3 | focus=dosage_quantity | q=Which quantity of Malathion 50% EC is recommended for contro
OK   | seed=1 | style=paraphrase_quantity_focused | call=4 | focus=unknown | q=When should the insecticide be applied for managing Gundhi B
OK   | seed=1 | style=paraphrase_quantity_focused | call=5 | focus=unknown | q=Why is the ETL for Gundhi Bug 5 bugs per 100 ear heads at fl
OK   | seed=1 | style=paraphrase_timing_focused | call=1 | focus=unknown | q=When should insecticides be applied to manage Naavaai Poochi
DUPE | seed=1 | style=paraphrase_timing_focused | q=When should insecticides be applied to manage Naavaai Poochi
OK   | seed=1 | style=paraphrase_timing_focused | call=3 | focus=unknown | q=Which time period is most critical for managing Naavaai Pooc
OK   | seed=1 | style=paraphrase_timing_focused | call=4 | focus=unknown | q=When should the KKM dust formulation be applied for managing
OK   | seed=1 | style=paraphrase_timing_focused | call=5 | focus=unknown | q=Why should insecticides be applied early in the morning or e
OK   | seed=1 | style=paraphrase_timing_focused | call=6 | focus=unknown | q=Can the timing of insecticide application for Gundhi Bug in 
OK   | seed=2 | style=paraphrase_formal | call=1 | focus=chemical_name | q=Which fungicides are recommended for the treatment of wheat 
OK   | seed=2 | style=paraphrase_formal | call=2 | focus=application_timing | q=When is the appropriate time to apply fungicides for the con
OK   | seed=2 | style=paraphrase_formal | call=3 | focus=application_timing | q=Why is it important to treat wheat seeds with fungicides bef
OK   | seed=2 | style=paraphrase_formal | call=4 | focus=seed_treatment | q=Can the application of Nirog as a fungicide be recommended f
OK   | seed=2 | style=paraphrase_formal | call=5 | focus=unknown | q=Should wheat seeds be treated with Nirog for disease control
OK   | seed=2 | style=paraphrase_short | call=1 | focus=seed_treatment | q=Which fungicide is recommended for wheat seed treatment in U
OK   | seed=2 | style=paraphrase_short | call=2 | focus=unknown | q=When should wheat seeds be treated with fungicides?
OK   | seed=2 | style=paraphrase_short | call=3 | focus=seed_treatment | q=Why use Trichoderma viride 1.5% WP for wheat seed treatment?
OK   | seed=2 | style=paraphrase_short | call=4 | focus=seed_treatment | q=Can Nirog be used for wheat seed treatment?
OK   | seed=2 | style=paraphrase_short | call=5 | focus=unknown | q=Should wheat seeds be treated with Nirog?
OK   | seed=2 | style=paraphrase_problem_description | call=1 | focus=symptom_detail | q=Which symptoms are appearing in the wheat field that indicat
OK   | seed=2 | style=paraphrase_problem_description | call=2 | focus=unknown | q=When I look at my wheat field, the seeds are not germinating
OK   | seed=2 | style=paraphrase_problem_description | call=3 | focus=unknown | q=Why are the wheat plants in my field showing weak growth and
OK   | seed=2 | style=paraphrase_problem_description | call=4 | focus=unknown | q=Can I treat my wheat seeds with a biological fungicide that 
OK   | seed=2 | style=paraphrase_problem_description | call=5 | focus=application_timing | q=Should the wheat seeds show signs of poor germination and we
OK   | seed=2 | style=paraphrase_followup | call=1 | focus=chemical_name | q=Which fungicide is recommended for treating Loose Smut in wh
OK   | seed=2 | style=paraphrase_followup | call=2 | focus=seed_treatment | q=When should the Trichoderma viride 1.5% WP be applied for wh
OK   | seed=2 | style=paraphrase_followup | call=3 | focus=seed_treatment | q=Why is seed treatment important for wheat in Uttar Pradesh?
OK   | seed=2 | style=paraphrase_followup | call=4 | focus=dosage_quantity | q=Can we apply Trichoderma viride 1.5% WP at 4 grams per kg of
OK   | seed=2 | style=paraphrase_followup | call=5 | focus=unknown | q=Should Trichoderma viride 1.5% WP be applied in the same way
DUPE | seed=2 | style=paraphrase_yes_no | q=Which fungicide is recommended for treating loose smut in wh
OK   | seed=2 | style=paraphrase_yes_no | call=2 | focus=application_timing | q=When is the best time to apply seed treatment for wheat in U
OK   | seed=2 | style=paraphrase_yes_no | call=3 | focus=application_timing | q=Why should wheat seeds be treated before sowing in Uttar Pra
OK   | seed=2 | style=paraphrase_yes_no | call=4 | focus=seed_treatment | q=Can Trichoderma viride 1.5% WP be used for seed treatment in
DUPE | seed=2 | style=paraphrase_yes_no | q=Should Trichoderma viride 1.5% WP be used for wheat seed tre
OK   | seed=2 | style=paraphrase_yes_no | call=6 | focus=dosage_quantity | q=What is the recommended application rate of Trichoderma viri
OK   | seed=2 | style=paraphrase_yes_no | call=7 | focus=unknown | q=Is Trichoderma viride 1.5% WP suitable for treating wheat se
OK   | seed=2 | style=paraphrase_preventive | call=1 | focus=application_timing | q=Which preventive measures can be taken to protect wheat crop
OK   | seed=2 | style=paraphrase_preventive | call=2 | focus=unknown | q=When should wheat seeds be treated to prevent diseases?
DUPE | seed=2 | style=paraphrase_preventive | q=Why should wheat seeds be treated before sowing in Uttar Pra
OK   | seed=2 | style=paraphrase_preventive | call=4 | focus=unknown | q=Can we prevent wheat seed-borne diseases by preparing the so
OK   | seed=2 | style=paraphrase_preventive | call=5 | focus=application_timing | q=Should wheat seeds be treated before sowing to prevent disea
OK   | seed=2 | style=paraphrase_preventive | call=6 | focus=seed_treatment | q=What is the importance of seed treatment for wheat in Uttar 
OK   | seed=2 | style=paraphrase_comparison | call=1 | focus=unknown | q=Which is better for treating wheat seeds, Nirog or Carboxin 
OK   | seed=2 | style=paraphrase_comparison | call=2 | focus=seed_treatment | q=When comparing Trichoderma viride 1.5% WP and Carboxin 37.5%
OK   | seed=2 | style=paraphrase_comparison | call=3 | focus=seed_treatment | q=Why is Trichoderma viride 1.5% WP preferred over other fungi
OK   | seed=2 | style=paraphrase_comparison | call=4 | focus=seed_treatment | q=Can Trichoderma viride 1.5% WP and Carboxin 37.5% + Thiram 3
OK   | seed=2 | style=paraphrase_comparison | call=5 | focus=seed_treatment | q=Should Nirog be used for wheat seed treatment in Uttar Prade
OK   | seed=2 | style=paraphrase_cause | call=1 | focus=unknown | q=Which factors cause wheat crops to be vulnerable to diseases
OK   | seed=2 | style=paraphrase_cause | call=2 | focus=seed_treatment | q=When does the use of Trichoderma viride 1.5% WP in wheat see
DUPE | seed=2 | style=paraphrase_cause | q=Why is seed treatment important for wheat in Uttar Pradesh?
OK   | seed=2 | style=paraphrase_cause | call=4 | focus=seed_treatment | q=Can the use of Nirog as a seed treatment lead to the prevent
OK   | seed=2 | style=paraphrase_cause | call=5 | focus=unknown | q=Should wheat seeds be treated with Nirog to prevent diseases
OK   | seed=2 | style=paraphrase_cause | call=6 | focus=seed_treatment | q=What is the cause of the need for seed treatment in wheat cu
OK   | seed=2 | style=paraphrase_quantity_focused | call=1 | focus=seed_treatment | q=Which quantity of Trichoderma viride 1.50% WP is recommended
OK   | seed=2 | style=paraphrase_quantity_focused | call=2 | focus=seed_treatment | q=When should Trichoderma viride 1.50% WP be applied for wheat
OK   | seed=2 | style=paraphrase_quantity_focused | call=3 | focus=dosage_quantity | q=Why should Trichoderma viride 1.50% WP be applied at 4 grams
OK   | seed=2 | style=paraphrase_quantity_focused | call=4 | focus=dosage_quantity | q=Can Trichoderma viride 1.5% WP be used at 4 grams per kg of 
OK   | seed=2 | style=paraphrase_quantity_focused | call=5 | focus=dosage_quantity | q=Should Trichoderma viride 1.50% WP be used at 4 grams per kg
OK   | seed=2 | style=paraphrase_timing_focused | call=1 | focus=unknown | q=When should wheat seeds be treated with fungicides in Uttar 
DUPE | seed=2 | style=paraphrase_timing_focused | q=When should wheat seeds be treated with fungicides in Uttar 
OK   | seed=2 | style=paraphrase_timing_focused | call=3 | focus=unknown | q=Why should wheat seeds be treated with Trichoderma viride 1.
DUPE | seed=2 | style=paraphrase_timing_focused | q=When should wheat seeds be treated with Trichoderma viride 1
OK   | seed=2 | style=paraphrase_timing_focused | call=5 | focus=application_timing | q=Should wheat seeds be treated with Nirog before sowing?
OK   | seed=2 | style=paraphrase_timing_focused | call=6 | focus=unknown | q=What is the best time to treat wheat seeds with Trichoderma 
OK   | seed=2 | style=paraphrase_timing_focused | call=7 | focus=unknown | q=Is it possible to treat wheat seeds with Trichoderma viride 
OK   | seed=3 | style=paraphrase_formal | call=1 | focus=unknown | q=Are there effective methods for controlling wild onion (Math
OK   | seed=3 | style=paraphrase_formal | call=2 | focus=unknown | q=What are the recommended methods for controlling wild onion 
OK   | seed=3 | style=paraphrase_formal | call=3 | focus=unknown | q=Which integrated weed management practices are recommended f
OK   | seed=3 | style=paraphrase_formal | call=4 | focus=unknown | q=When should pre-emergence herbicides be applied for the cont
OK   | seed=3 | style=paraphrase_formal | call=5 | focus=unknown | q=Why is wild onion a problem in paddy fields in Punjab, and w
OK   | seed=3 | style=paraphrase_short | call=1 | focus=unknown | q=Are wild onion control methods available for paddy in Punjab
OK   | seed=3 | style=paraphrase_short | call=2 | focus=unknown | q=What is the method to control wild onion in paddy in Punjab?
OK   | seed=3 | style=paraphrase_short | call=3 | focus=unknown | q=Which herbicides control wild onion in paddy?
OK   | seed=3 | style=paraphrase_short | call=4 | focus=application_timing | q=When to apply herbicides for wild onion control in paddy?
OK   | seed=3 | style=paraphrase_short | call=5 | focus=unknown | q=Why use Pretilachlor for wild onion in paddy?
OK   | seed=3 | style=paraphrase_problem_description | call=1 | focus=symptom_detail | q=Are there yellowing and thinning plants in my paddy field, a
OK   | seed=3 | style=paraphrase_problem_description | call=2 | focus=unknown | q=What are the yellowish patches and thinning plants in my pad
OK   | seed=3 | style=paraphrase_problem_description | call=3 | focus=symptom_detail | q=Which symptoms indicate the presence of wild onion in my pad
OK   | seed=3 | style=paraphrase_problem_description | call=4 | focus=unknown | q=When I see thin, grass-like plants growing among my paddy pl
OK   | seed=3 | style=paraphrase_problem_description | call=5 | focus=unknown | q=Why are some plants growing thick and tall in my paddy field
OK   | seed=3 | style=paraphrase_followup | call=1 | focus=unknown | q=Are there any specific water level requirements during the a
OK   | seed=3 | style=paraphrase_followup | call=2 | focus=dosage_quantity | q=What is the correct dosage of Pretilachlor 50% EC for contro
OK   | seed=3 | style=paraphrase_followup | call=3 | focus=unknown | q=Which herbicide is recommended for post-emergence control of
OK   | seed=3 | style=paraphrase_followup | call=4 | focus=unknown | q=When should I apply Bispyribac sodium 10% SC for wild onion 
OK   | seed=3 | style=paraphrase_followup | call=5 | focus=unknown | q=Why is hand weeding done at 20-25 days after transplanting?
OK   | seed=3 | style=paraphrase_yes_no | call=1 | focus=unknown | q=Are pre-emergence herbicides recommended for controlling wil
OK   | seed=3 | style=paraphrase_yes_no | call=2 | focus=unknown | q=What should be the water level in the field during herbicide
DUPE | seed=3 | style=paraphrase_yes_no | q=Which herbicides are recommended for controlling wild onion 
OK   | seed=3 | style=paraphrase_yes_no | call=4 | focus=unknown | q=When should hand weeding be done for controlling wild onion 
OK   | seed=3 | style=paraphrase_yes_no | call=5 | focus=unknown | q=Why should I apply Pretilachlor 50% EC within 3 days after t
OK   | seed=3 | style=paraphrase_yes_no | call=6 | focus=unknown | q=Can Pretilachlor 50% EC be applied more than once for contro
OK   | seed=3 | style=paraphrase_preventive | call=1 | focus=unknown | q=Are there any cultural practices to prevent wild onion (Math
OK   | seed=3 | style=paraphrase_preventive | call=2 | focus=unknown | q=What steps can I take to prevent wild onion (Mathia) infesta
OK   | seed=3 | style=paraphrase_preventive | call=3 | focus=unknown | q=Which cultural practices can help prevent wild onion (Mathia
OK   | seed=3 | style=paraphrase_preventive | call=4 | focus=unknown | q=When should I apply herbicides to prevent wild onion in my p
OK   | seed=3 | style=paraphrase_preventive | call=5 | focus=unknown | q=Why should I maintain a water level of 2-3 inches in paddy f
OK   | seed=3 | style=paraphrase_comparison | call=1 | focus=unknown | q=Are Pretilachlor 50% EC and Pyrazosulfuron ethyl 10% WP both
OK   | seed=3 | style=paraphrase_comparison | call=2 | focus=unknown | q=What are the differences between pre-emergence and post-emer
OK   | seed=3 | style=paraphrase_comparison | call=3 | focus=unknown | q=Which is better for controlling wild onion in paddy, Pretila
OK   | seed=3 | style=paraphrase_comparison | call=4 | focus=unknown | q=When should I apply herbicides for controlling wild onion in
OK   | seed=3 | style=paraphrase_comparison | call=5 | focus=unknown | q=Why should I use Pretilachlor 50% EC over Pyrazosulfuron eth
OK   | seed=3 | style=paraphrase_cause | call=1 | focus=pathogen_name | q=Are wild onions in paddy fields in Punjab caused by specific
OK   | seed=3 | style=paraphrase_cause | call=2 | focus=unknown | q=What causes wild onion (Mathia) to infest paddy fields in Pu
OK   | seed=3 | style=paraphrase_cause | call=3 | focus=unknown | q=Which factors contribute to the growth of wild onion (Mathia
OK   | seed=3 | style=paraphrase_cause | call=4 | focus=unknown | q=When does wild onion (Mathia) become a problem in paddy fiel
OK   | seed=3 | style=paraphrase_cause | call=5 | focus=unknown | q=Why does wild onion grow in paddy fields in Punjab?
OK   | seed=3 | style=paraphrase_quantity_focused | call=1 | focus=unknown | q=Are 600 ml/acre of Pretilachlor 50% EC recommended for contr
OK   | seed=3 | style=paraphrase_quantity_focused | call=2 | focus=dosage_quantity | q=What is the dosage of Pretilachlor 50% EC required for contr
OK   | seed=3 | style=paraphrase_quantity_focused | call=3 | focus=dosage_quantity | q=Which quantity of Bispyribac sodium 10% SC is recommended fo
OK   | seed=3 | style=paraphrase_quantity_focused | call=4 | focus=unknown | q=When should Bispyribac sodium 10% SC be applied for wild oni
OK   | seed=3 | style=paraphrase_quantity_focused | call=5 | focus=unknown | q=Why should I use 600 ml/acre of Pretilachlor 50% EC?
DUPE | seed=3 | style=paraphrase_timing_focused | q=When should I apply Bispyribac sodium 10% SC for controlling
OK   | seed=3 | style=paraphrase_timing_focused | call=2 | focus=unknown | q=When should I apply herbicides to control wild onion in padd
DUPE | seed=3 | style=paraphrase_timing_focused | q=When should I apply Bispyribac sodium 10% SC for controlling
DUPE | seed=3 | style=paraphrase_timing_focused | q=When should I apply Bispyribac sodium 10% SC for controlling
OK   | seed=3 | style=paraphrase_timing_focused | call=5 | focus=unknown | q=Why should I apply herbicides 3 days after transplanting pad
OK   | seed=3 | style=paraphrase_timing_focused | call=6 | focus=unknown | q=Can I apply Bispyribac sodium 10% SC for wild onion control 
OK   | seed=3 | style=paraphrase_timing_focused | call=7 | focus=unknown | q=Should I apply herbicides for wild onion control in paddy at
OK   | seed=3 | style=paraphrase_timing_focused | call=8 | focus=application_timing | q=What is the best time to apply Bispyribac sodium 10% SC for 
OK   | seed=4 | style=paraphrase_formal | call=1 | focus=symptom_detail | q=Is whitefly a significant pest in wheat crops, and what are 
OK   | seed=4 | style=paraphrase_formal | call=2 | focus=unknown | q=What are the appropriate methods for identifying and managin
OK   | seed=4 | style=paraphrase_formal | call=3 | focus=unknown | q=Are there specific monitoring techniques for identifying pes
OK   | seed=4 | style=paraphrase_formal | call=4 | focus=unknown | q=What are the recommended methods for monitoring and managing
OK   | seed=4 | style=paraphrase_formal | call=5 | focus=unknown | q=Which pests cause damage to wheat crops and how can they be 
OK   | seed=4 | style=paraphrase_short | call=1 | focus=unknown | q=Is thrips a pest in wheat?
OK   | seed=4 | style=paraphrase_short | call=2 | focus=unknown | q=Does thrips affect wheat crop?
OK   | seed=4 | style=paraphrase_short | call=3 | focus=unknown | q=Are thrips a problem in wheat crops?
OK   | seed=4 | style=paraphrase_short | call=4 | focus=unknown | q=What causes damage to wheat crops in Punjab?
OK   | seed=4 | style=paraphrase_short | call=5 | focus=unknown | q=Which pests attack wheat crop?
OK   | seed=4 | style=paraphrase_problem_description | call=1 | focus=unknown | q=Is the wheat crop showing silver-colored patches on the stem
OK   | seed=4 | style=paraphrase_problem_description | call=2 | focus=symptom_detail | q=Does my wheat crop have small, brown insects causing silver-
OK   | seed=4 | style=paraphrase_problem_description | call=3 | focus=unknown | q=Are the leaves of my wheat crop showing a silver coloration 
OK   | seed=4 | style=paraphrase_problem_description | call=4 | focus=symptom_detail | q=What are the symptoms I am seeing in my wheat field where th
OK   | seed=4 | style=paraphrase_problem_description | call=5 | focus=symptom_detail | q=Which symptoms are appearing on the wheat plants?
OK   | seed=4 | style=paraphrase_followup | call=1 | focus=unknown | q=Is there a specific number of blue pan traps recommended for
OK   | seed=4 | style=paraphrase_followup | call=2 | focus=unknown | q=Does the application of blue pan traps need to be done at a 
OK   | seed=4 | style=paraphrase_followup | call=3 | focus=unknown | q=Are there specific instructions for using blue pan traps for
OK   | seed=4 | style=paraphrase_followup | call=4 | focus=unknown | q=What is the recommended number of blue pan traps for monitor
OK   | seed=4 | style=paraphrase_followup | call=5 | focus=unknown | q=Which traps are best for monitoring thrips in wheat?
OK   | seed=4 | style=paraphrase_yes_no | call=1 | focus=symptom_detail | q=Is whitefly a significant pest of wheat crops?
SKIP | seed=4 | style=paraphrase_yes_no | call=2
OK   | seed=4 | style=paraphrase_yes_no | call=3 | focus=unknown | q=Are blue pan traps effective for monitoring thrips in wheat 
OK   | seed=4 | style=paraphrase_yes_no | call=4 | focus=unknown | q=What is the correct method to monitor thrips in wheat crops?
