generated_id,style,source_answer_id,source_question_id,crop,state,district,season,domain,generated_question,generated_answer,target_state,timestamp
si_par_698c017c_0_1775475701,paraphrase,698c017c6bca0c342047cff8,698bff986bca0c342047cf4a,Cotton,Punjab,FARIDKOT,Kharif,Variety,What is the suggested seeding rate for MRC 7117 and MRC 7131 cotton varieties per acre?,"The above mentioned varieties of cotton are developed by a private organization. They are Bt hybrids of cotton crop. The general recommended seedrate of cotton crop is 900gm of bt cotton and 240gm of non bt cotton or refuge cotton. Grow non-Bt cotton as a refuge around Bt cotton hybrids to avoid evolution of resistance in bollworm to Bt toxin.   Alternatively, farmer is advised to grow two pouches of 475 gram each (i.e 950gms) of already mixed refuge in seed.  Since, the above mentioned hybrids are of private organization, farmer is advised to opt for government recommended cotton hybrids like MH 5302BG II, C 9313 BG II,  C 352 BG II, ACH 999-2 BG II etc.  For variety-specific recommendations, optimal sowing practices for your soil type, and integrated crop management strategies, contact your nearest Krishi Vigyan Kendra (KVK) in Faridkot district. They can provide location-specific advice and connect you with successful cotton farmers using these varieties.",,2026-04-06T11:41:41.626496
si_par_698c017c_1_1775475704,paraphrase,698c017c6bca0c342047cff8,698bff986bca0c342047cf4a,Cotton,Punjab,FARIDKOT,Kharif,Variety,What is the recommended seed rate for MRC 7117 and MRC 7131 cotton varieties per acre?,"The above mentioned varieties of cotton are developed by a private organization. They are Bt hybrids of cotton crop. The general recommended seedrate of cotton crop is 900gm of bt cotton and 240gm of non bt cotton or refuge cotton. Grow non-Bt cotton as a refuge around Bt cotton hybrids to avoid evolution of resistance in bollworm to Bt toxin.   Alternatively, farmer is advised to grow two pouches of 475 gram each (i.e 950gms) of already mixed refuge in seed.  Since, the above mentioned hybrids are of private organization, farmer is advised to opt for government recommended cotton hybrids like MH 5302BG II, C 9313 BG II,  C 352 BG II, ACH 999-2 BG II etc.  For variety-specific recommendations, optimal sowing practices for your soil type, and integrated crop management strategies, contact your nearest Krishi Vigyan Kendra (KVK) in Faridkot district. They can provide location-specific advice and connect you with successful cotton farmers using these varieties.",,2026-04-06T11:41:44.599150
si_par_693cf429_0_1775475708,paraphrase,693cf4291f1d4023652f6f2a,693c022b1f1d4023652f6df4,Tomato,Punjab,Not specified,Not specified,Crop Management,What is the method for cultivating Tomato on 1 hectare of land in Punjab?,"Tomato is an important vegetable crop in Punjab, cultivated successfully under open field and protected conditions.Climate and Soil Tomato is a warm season crop and requires a relatively long growing season with plenty of sunshine and moderate day temperature of 20–280 C. It is sensitive to frost. Under low temperature, the plant growth is restricted and fruit setting is low. The critical factor in the setting of fruits is the night temperature, the optimum range being 15–200 C.The red pigment in the fruit will develop only when the temperature is between 150 C-300 C. Above this range of temperature, only the yellow pigment formed. When the temperature exceeds 400 C, no pigment will be formed. Tomato can be grown in all types of soils, but the soil should be friable. However, it grows best in light soils ranging from sandy loam to loam. Sowing time :  For winter planting, sowing should be done in October and transplanting in November-December.  economically covered with polythene bags",,2026-04-06T11:41:48.985803
si_par_693cf429_1_1775475714,paraphrase,693cf4291f1d4023652f6f2a,693c022b1f1d4023652f6df4,Tomato,Punjab,Not specified,Not specified,Crop Management,What is the method for growing Tomato on 1 hectare in Punjab?,"Tomato is an important vegetable crop in Punjab, cultivated successfully under open field and protected conditions. Climate and Soil Tomato is a warm season crop and requires a relatively long growing season with plenty of sunshine and moderate day temperature of 20–280 C. It is sensitive to frost. Under low temperature, the plant growth is restricted and fruit setting is low. The critical factor in the setting of fruits is the night temperature, the optimum range being 15–200 C. The red pigment in the fruit will develop only when the temperature is between 150 C-300 C. Above this range of temperature, only the yellow pigment formed. When the temperature exceeds 400 C, no pigment will be formed. Tomato can be grown in all types of soils, but the soil should be friable. However, it grows best in light soils ranging from sandy loam to loam. Sowing time : For winter planting, sowing should be done in October and transplanting in November-December. economically covered with polythene bags",,2026-04-06T11:41:54.943573
si_par_696daf43_0_1775475718,paraphrase,696daf43774b35f1baef16cc,696b7af9774b35f1baef15c0,Paddy,Tamil Nadu,VELLORE,Kharif,Plant Protection,Is it advisable to combine Cartap Hydrochloride granules with urea for managing stem borer in paddy?,"Cartap Hydrochloride granules should not be combined with urea for stem borer management in paddy. These two products must be applied individually to preserve their effectiveness and ensure effective pest control.    Pest Identification:  The stem borer (primarily yellow stem borer - Scirpophaga incertulas) is a critical pest of paddy crops that leads to substantial yield reductions. The larvae penetrate the stem, resulting in 'dead hearts' during the vegetative phase and 'white ears' during the reproductive phase. Infested tillers exhibit drying and wilting symptoms.    Reasons for Separate Application:  Cartap Hydrochloride 4% granules (G) and urea fulfill distinct roles and require different application approaches. Combining them may lower the insecticide's effectiveness, cause irregular distribution, and possibly trigger chemical interactions that impair pest control. The insecticide granules are intended for specific placement in standing water, whereas urea necessitates different application techniques for optimal nutrient absorption.",,2026-04-06T11:41:58.926209
si_par_696daf43_1_1775475722,paraphrase,696daf43774b35f1baef16cc,696b7af9774b35f1baef15c0,Paddy,Tamil Nadu,VELLORE,Kharif,Plant Protection,Is it advisable to combine Cartap Hydrochloride granules with urea for managing stem borer in paddy?,"Cartap Hydrochloride granules should NOT be combined with urea for stem borer management in paddy. These two products must be applied separately to preserve their efficacy and ensure effective pest control.    Pest Identification:  The stem borer (primarily yellow stem borer - Scirpophaga incertulas) is a major pest of paddy crops that causes significant yield losses. The larvae bore into the stem, causing 'dead hearts' in vegetative stage and 'white ears' during reproductive stage. Infested tillers show drying and wilting symptoms.    Why Not to Combine:  Cartap Hydrochloride 4% granules (G) and urea serve different functions and have distinct application requirements. Combining them can lower the insecticide's effectiveness, cause uneven distribution, and potentially result in chemical reactions that reduce pest control efficiency. The insecticide granules are intended for specific placement in standing water, while urea requires different application techniques for optimal nutrient absorption.",,2026-04-06T11:42:02.592089
si_par_697ae99f_0_1775475729,paraphrase,697ae99faf17f554aa2093f4,69799e0faf17f554aa208c26,Paddy,Tamil Nadu,TIRUVANNAMALAI,Kharif,Varieties,"Which season is appropriate for cultivating the Deluxe Ponni paddy variety in Tiruvannamalai district, Tamil Nadu?","The product was mentioned is a paddy variety that is not an officially released or notified variety. There is not much suitable information available about this variety from government or non-government sources. Farmers are advised to always use government-recognised, registered, or certified varieties. However, the mentioned variety is also not listed in the TNAU POP–recommended paddy varieties for Tiruvannamalai district. Farmers are further advised to grow varieties recommended by their State Agricultural University for their district, as this ensures the selection of locally suitable varieties that can withstand local climatic conditions and perform better. The recommended varieties for Tiruvannamalai district with seasonwise are:  1. Sornavari (April-May) ADT 53, CO 51, ADT 43, ADT (R) 45, TPS 5 ,MDU 6, ADT 36 2. Samba (Aug) VGD 1, TKM 13, CO 52, Imp. White Ponni, ASD 19, ADT 49, CO (R) 50 3. Navarai (Dec -Jan) ADT 53, CO 51, ADT (R) 45, TPS 5 , MDU 6,ADT 36, ADT 37  For further g",,2026-04-06T11:42:09.632805
si_par_697ae99f_1_1775475733,paraphrase,697ae99faf17f554aa2093f4,69799e0faf17f554aa208c26,Paddy,Tamil Nadu,TIRUVANNAMALAI,Kharif,Varieties,What is the suitable season for growing Deluxe Ponni paddy variety in Tiruvannamalai district of Tamil Nadu?,"The product was mentioned is a paddy variety that is not an officially released or notified variety. There is not much suitable information available about this variety from government or non-government sources. Farmers are advised to always use government-recognised, registered, or certified varieties. However, the mentioned variety is also not listed in the TNAU POP–recommended paddy varieties for Tiruvannamalai district. Farmers are further advised to grow varieties recommended by their State Agricultural University for their district, as this ensures the selection of locally suitable varieties that can withstand local climatic conditions and perform better. The recommended varieties for Tiruvannamalai district with seasonwise are:  1. Sornavari (April-May) ADT 53, CO 51, ADT 43, ADT (R) 45, TPS 5 ,MDU 6, ADT 36 2. Samba (Aug) VGD 1, TKM 13, CO 52, Imp. White Ponni, ASD 19, ADT 49, CO (R) 50 3. Navarai (Dec -Jan) ADT 53, CO 51, ADT (R) 45, TPS 5 , MDU 6,ADT 36, ADT 37  For further g",,2026-04-06T11:42:13.705810
si_par_69745d27_0_1775475736,paraphrase,69745d27af17f554aa208000,69745666af17f554aa207f7c,Paddy,Tamil Nadu,VILLUPPURAM,Kharif,Cultural Practices,How long is the nursery period for paddy variety RNR 15048?,"The nursery period for paddy variety RNR 15048 (Telangana Sona) is approximately 25–30 days. Seedlings of this age are suitable for transplanting in irrigated conditions, as younger seedlings establish faster, produce more productive tillers, and align with the short maturity period of about 125 days. This 25–30-day nursery period is consistently implemented in research trials and farmer fields across Telangana and other states where RNR 15048 is grown during both kharif and rabi seasons. For further details, farmers are recommended to reach out to the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",,2026-04-06T11:42:16.743367
si_par_69745d27_1_1775475741,paraphrase,69745d27af17f554aa208000,69745666af17f554aa207f7c,Paddy,Tamil Nadu,VILLUPPURAM,Kharif,Cultural Practices,How long is the nursery period for paddy variety RNR 15048?,"The nursery period for paddy variety RNR 15048 (Telangana Sona) is approximately 25–30 days. Seedlings of this age are considered ideal for transplanting under irrigated conditions, as younger seedlings establish faster, produce more productive tillers, and support the short maturity period of about 125 days. This 25–30-day nursery period is consistently followed in research trials and farmer fields across Telangana and other states where RNR 15048 is cultivated during both kharif and rabi seasons. If you would like more information or clarification, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",,2026-04-06T11:42:21.282867
si_par_693bdab1_0_1775475743,paraphrase,693bdab11f1d4023652f6cab,693bbe9e89fe351d52c5f682,Wheat,Karnataka,BIJAPUR,Rabi,Seeds,What is the recommended seed rate for wheat in Karnataka?,"For optimal wheat production in Karnataka, the seed rate must be determined based on irrigation status and sowing time. In irrigated and timely sown conditions, apply 40 kg of seed per acre with a row spacing of 20–23 cm. For irrigated late-sown wheat, apply 50 kg per acre while maintaining a row spacing of 20–23 cm. In rainfed timely sown areas, use 50 kg per acre with a row spacing of 20–23 cm.",,2026-04-06T11:42:23.396693
si_par_693bdab1_1_1775475746,paraphrase,693bdab11f1d4023652f6cab,693bbe9e89fe351d52c5f682,Wheat,Karnataka,BIJAPUR,Rabi,Seeds,What is the recommended seed rate for wheat cultivation in Karnataka?,"For optimal wheat production in Karnataka, the seed rate should be determined based on irrigation and sowing timing. In irrigated and timely sown scenarios, apply 40 kg per acre with a row spacing of 20–23 cm. For irrigated late-sown wheat, use 50 kg per acre with the same row spacing of 20–23 cm. In rainfed fields with timely sowing, a seed rate of 50 kg per acre is recommended, maintaining a row spacing of 20–23 cm.",,2026-04-06T11:42:26.500829
