generated_id,style,source_answer_id,source_question_id,crop,state,district,season,domain,generated_question,generated_answer,seed_question,timestamp
si_v2_paraph_69b4f872_11,paraphrase_timing_focused,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,At what stage of pea growth should I apply seed treatment with Pseudomonas fluorescens to manage root rot?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:34.995370
si_v2_paraph_69b4f872_12,paraphrase_regional_hindi,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,"Matar ki phal me gale ki bimari ho rahi hai, iska kya ilaj hai?","Matar ki gale ki bimari ko rokne ke liye, 3-4 saal tak doosri kheti jaise chawal, sardaab, ya pyaz ki kheti karo. Bhukh bharne wale kheto ko chhodo. Khet ko sahi tareeke se tayyar karo. Bimaar bheej ka istemal karo. Bheej ko Pseudomonas fluorescens ke 15 g talc se chhaap do. Khet me jyada paani na do. Agar samasya baqi rahe to koi KVK se mile.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:37.661561
si_v2_paraph_69b4f872_13,paraphrase_formal,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What are the common root diseases that affect pea crops and what are the recommended methods for their management?,"Root diseases are a significant challenge in pea cultivation, often leading to substantial yield losses and plant mortality. The primary root diseases affecting peas include root rot, which is caused by soil-borne fungal pathogens such as Fusarium oxysporum and Rhizoctonia solani. These pathogens infect the root system, impairing the plant's ability to absorb water and nutrients, which results in symptoms such as stunted growth, wilting, and eventual plant death.

Symptoms of root diseases in peas can be observed both above and below the ground. Above-ground symptoms include chlorosis of lower leaves, stunted growth, wilting during hot weather, and premature plant death. Below-ground symptoms include darkened, water-soaked roots that turn brown or black, root decay, reduced root mass, and the absence of healthy root tips. In cases of Fusarium root rot, a reddish-brown discoloration of the vascular tissue may be seen. Seedling damping-off may also occur in severe infections.

The severity of root diseases is often influenced by factors such as poor drainage, heavy clay soils, continuous pea cropping, and soil temperatures ranging between 15-28°C with high moisture levels.

Integrated Disease Management Strategies:
1. Implement a crop rotation of at least 3-4 years with non-leguminous crops such as cereals, brassicas, or onions to reduce the population of soil-borne pathogens.
2. Select well-drained fields with good soil structure and avoid low-lying areas prone to waterlogging.
3. Improve soil drainage through proper land preparation, including raised bed cultivation.
4. Use certified disease-free seeds from reliable sources and treat the seeds before sowing.
5. Practice deep summer plowing to expose soil pathogens to solar heat and desiccation.
6. Maintain optimal plant spacing to promote good air circulation and reduce humidity around the root zone.
7. Remove and destroy infected plant debris immediately to prevent the spread of pathogens.
8. Avoid excessive irrigation and use drip or furrow irrigation methods instead of flood irrigation.
9. Incorporate well-decomposed organic matter to enhance soil health and beneficial microbial populations.
10. Adjust sowing dates to avoid periods of high soil moisture and temperature that favor pathogen development.
11. Treat the seeds with a Talc-based formulation of Pseudomonas fluorescens at a rate of 15 g per kg of seed before sowing.

For further assistance, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:41.632552
si_v2_paraph_69b4f872_14,paraphrase_farmer_style,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,khet me mool ki bimari kyun hoti hai aur unse kaise bacha jaye?,"mool ki bimari khet me jal ka samasya, gandha jaise khet me badalne ke karan hoti hai. iske liye kheer me 3-4 saal tak kahi aur khet na kare, aur chakki chakki kare. bhimari seed ko khareedna aur unhe pani me kuch dawai dal ke dho de. kheer me jyada pani na do aur jyada khadai na kare. agar kuch samasya ho to panchayat ke aadmi se puchhe.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:43.206499
si_v2_paraph_69b4f872_15,paraphrase_short,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How to manage root diseases in peas?,"Use crop rotation with non-leguminous crops for 3-4 years. Plant in well-drained soil, treat seeds with Pseudomonas fluorescens, and avoid over-irrigation. Remove infected debris and improve soil health with organic matter.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:44.290323
si_v2_paraph_69b4f872_16,paraphrase_problem_description,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,"My pea plants are showing yellowing of lower leaves and stunted growth, and the roots look dark and black. What is wrong and how do I treat it?","The symptoms you are observing suggest root diseases in peas, which are caused by soil-borne fungal pathogens like Fusarium oxysporum and Rhizoctonia solani. These pathogens damage the root system, leading to poor water and nutrient uptake, wilting, and plant death. To manage this, implement a crop rotation of at least 3-4 years with non-leguminous crops, select well-drained fields, improve soil drainage through raised beds, use certified disease-free seeds, and treat seeds with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed. Avoid excessive irrigation, maintain proper plant spacing, remove infected debris, and consult local agricultural extension officers for further assistance.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:46.014561
si_v2_paraph_69b4f872_17,paraphrase_followup,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,You mentioned treating seeds with Pseudomonas fluorescens — what is the exact dosage and method of application?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:47.022833
si_v2_paraph_69b4f872_18,paraphrase_yes_no,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,Can root diseases significantly affect pea cultivation?,"Yes, root diseases in peas are among the most destructive problems affecting pea cultivation, causing significant yield losses and plant mortality.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:47.955634
si_v2_paraph_69b4f872_19,paraphrase_preventive,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How can I prevent root diseases in peas before sowing?,"To prevent root diseases in peas, implement a crop rotation of at least 3-4 years with non-leguminous crops such as cereals, brassicas, or onions. Select well-drained fields and avoid low-lying areas prone to waterlogging. Improve soil drainage through raised bed cultivation. Use certified disease-free seeds and treat them with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing. Practice deep summer plowing to expose soil pathogens to solar heat. Maintain optimal plant spacing for good air circulation and reduce humidity. Remove and destroy infected plant debris. Avoid excessive irrigation and use drip or furrow irrigation. Incorporate well-decomposed organic matter to improve soil health. Adjust sowing dates to avoid high soil moisture and temperature favorable for pathogen development.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:49.619082
si_v2_paraph_69b4f872_20,paraphrase_comparison,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What is the difference between Fusarium oxysporum and Rhizoctonia solani in causing root rot in peas?,"Fusarium oxysporum and Rhizoctonia solani are both soil-borne fungal pathogens that cause root rot in peas. Fusarium root rot is characterized by a reddish-brown discoloration of the vascular tissue extending into the stem base, while Rhizoctonia solani causes darkened, water-soaked roots that turn brown to black, with root decay and rot. Both pathogens compromise the plant's ability to absorb water and nutrients, leading to stunted growth, wilting, and plant death.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:51.092237
si_v2_paraph_69b4f872_21,paraphrase_cause,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What causes root diseases in peas and how do these diseases affect the plants?,"Root diseases in peas are caused by soil-borne fungal pathogens such as Fusarium oxysporum and Rhizoctonia solani. These pathogens attack the root system, compromising the plant's ability to absorb water and nutrients, which leads to stunted growth, wilting, and plant death. Symptoms include yellowing of lower leaves, stunted growth, wilting during hot periods, and darkened, water-soaked roots that turn brown to black. In cases of Fusarium root rot, a reddish-brown discoloration of the vascular tissue extending into the stem base is observed. Seedling damping-off may also occur in severe infections.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:52.595388
si_v2_paraph_69b4f872_22,paraphrase_quantity_focused,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What is the recommended dosage of Pseudomonas fluorescens for seed treatment in pea cultivation?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:53.835714
si_v2_paraph_69b4f872_23,paraphrase_timing_focused,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,When should I treat pea seeds with Pseudomonas fluorescens to manage root diseases?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:54.860087
si_v2_paraph_69b4f872_24,paraphrase_regional_hindi,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,Matar ki phal me jal ki bimari kyun hoti hai aur unke upchaar kaise kare?,"Matar ki phal me jal ki bimari jal ke zariye hoti hai, jisme root rot (Fusarium oxysporum aur Rhizoctonia solani se) shamil hai. Is bimari ke lakshan me neeche wale pataon ki sariya, chhoti phal, ghutne wale pauda aur phal ki maut shamil hai. Bimari ke upchaar ke liye 3-4 saal tak kisi bhi leguminous crop ke sath chakkar chalaye, chakkar chalaye, aur kharab pani se bachaye. Bhumi me acha chakkar chalaye, seed ko achha chunke aur seed ko Pseudomonas fluorescens ke saath chuna jaye.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:29:56.677125
si_v2_paraph_69b4f872_25,paraphrase_formal,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,"What are the common root diseases that affect pea plants, and what are the recommended measures for their management?","Root diseases in pea plants are among the most damaging issues in pea cultivation, resulting in significant yield losses and plant mortality. The main root diseases affecting peas include root rot, which is caused by soil-borne fungal pathogens such as Fusarium oxysporum and Rhizoctonia solani. These pathogens attack the root system, impairing the plant's ability to absorb water and nutrients, and ultimately leading to stunted growth, wilting, and plant death.

Symptoms of root diseases in peas can be observed both above and below ground. Above-ground symptoms include yellowing of lower leaves, stunted plant growth, wilting during hot periods despite adequate soil moisture, and premature plant death. Below-ground symptoms include darkened, water-soaked roots that turn brown or black, root decay, reduced root mass, and the absence of healthy white root tips. In cases of Fusarium root rot, the vascular tissue may show reddish-brown discoloration extending into the stem base. Seedling damping-off may occur in severe infections, where young plants collapse shortly after emergence.

The severity of root diseases increases under conditions of poor drainage, heavy clay soils, continuous pea cropping, and soil temperatures ranging from 15-28°C with high moisture levels.

Integrated Disease Management:
1. Implement a crop rotation of at least 3-4 years with non-leguminous crops such as cereals, brassicas, or onions to reduce soil-borne pathogen populations.
2. Select well-drained fields with good soil structure, avoiding low-lying areas prone to waterlogging.
3. Improve soil drainage through proper land preparation, including raised bed cultivation.
4. Use certified disease-free seeds from reliable sources and treat seeds before sowing.
5. Practice deep summer plowing to expose soil pathogens to solar heat and desiccation.
6. Maintain optimal plant spacing to ensure good air circulation and reduce humidity around the root zone.
7. Remove and destroy infected plant debris immediately to prevent pathogen spread.
8. Avoid excessive irrigation and use drip or furrow irrigation methods instead of flood irrigation.
9. Incorporate well-decomposed organic matter to improve soil health and beneficial microbial populations.
10. Adjust sowing dates to avoid periods of high soil moisture and temperature favorable for pathogen development.
11. Treat the seed with 15 g of a talc-based formulation of Pseudomonas fluorescens per kg of seed before sowing.

For further guidance, farmers are advised to contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:00.647576
si_v2_paraph_69b4f872_26,paraphrase_farmer_style,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,khet me jeene wale moong ke akar bimariyan kyun hoti hain aur unse kaise bacha jaye?,"moong ke akar me bimariyan akar ke gale me kharab hoti hain. ye bimariyan khet me jism me kharab hoti hain. iske alawa, neeche wale hisse me kala chashma dikhayi dete hain. iske liye, 3-4 saal tak doosri fasal jaise gandum, sardaab, ya lehsun lagaye. khet me pani ka sahi upyog karein aur seed ko chakki wale upay se chakkein. khet me kum pani do aur chakki wale dawai ka upyog karein. agr kuch bhi samajh nahi aaye to panchayat office ya KVK se puchhe.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:02.527127
si_v2_paraph_69b4f872_27,paraphrase_short,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How to manage pea root diseases?,Use crop rotation with non-leguminous crops for 3-4 years. Apply Pseudomonas fluorescens seed treatment and ensure well-drained soil. Avoid over-irrigation and remove infected plant debris.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:03.543611
si_v2_paraph_69b4f872_28,paraphrase_problem_description,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,My pea plants are showing yellowing of lower leaves and stunted growth. Some plants are wilting even when there is enough water. What could be the issue and how do I manage it?,"The symptoms described suggest root diseases in peas, which are caused by soil-borne fungal pathogens such as Fusarium oxysporum and Rhizoctonia solani. These pathogens attack the root system, leading to darkened, water-soaked roots that turn brown to black, root decay, and stunted growth. To manage this, implement a crop rotation of at least 3-4 years with non-leguminous crops, select well-drained fields, improve soil drainage, use certified disease-free seeds, treat seeds with a Talc-based formulation of Pseudomonas fluorescens, avoid excessive irrigation, and remove infected plant debris. For further assistance, contact the nearest Krishi Vigyan Kendra (KVK) or local agricultural extension officer.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:05.413045
si_v2_paraph_69b4f872_29,paraphrase_followup,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,You mentioned treating seeds with Pseudomonas fluorescens — what is the exact quantity required per kg of seed?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:06.691745
si_v2_paraph_69b4f872_30,paraphrase_yes_no,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,Can root diseases affect pea cultivation?,"Yes, root diseases in peas are among the most destructive problems affecting pea cultivation, causing significant yield losses and plant mortality.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:07.602583
si_v2_paraph_69b4f872_31,paraphrase_preventive,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,How can I prevent root diseases in peas before sowing?,"To prevent root diseases in peas, implement a crop rotation of at least 3-4 years with non-leguminous crops such as cereals, brassicas, or onions. Select well-drained fields and avoid low-lying areas prone to waterlogging. Improve soil drainage through proper land preparation, including raised bed cultivation. Use certified disease-free seeds and treat them with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing. Practice deep summer plowing to expose soil pathogens to solar heat and desiccation. Maintain optimal plant spacing to ensure good air circulation. Remove and destroy infected plant debris immediately. Avoid excessive irrigation and use drip or furrow irrigation methods. Incorporate well-decomposed organic matter to improve soil health. Adjust sowing dates to avoid periods of high soil moisture and temperature favorable for pathogen development.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:10.337113
si_v2_paraph_69b4f872_32,paraphrase_comparison,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What is the difference between Fusarium oxysporum and Rhizoctonia solani in causing root rot in peas?,"Fusarium oxysporum and Rhizoctonia solani are both soil-borne fungal pathogens that cause root rot in peas. Fusarium root rot is characterized by a reddish-brown discoloration of the vascular tissue extending into the stem base, while Rhizoctonia solani causes darkened, water-soaked roots that turn brown to black, with root decay and rot.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:11.622817
si_v2_paraph_69b4f872_33,paraphrase_cause,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What causes root diseases in peas and how do they affect the plants?,"Root diseases in peas are caused by soil-borne fungal pathogens such as Fusarium oxysporum and Rhizoctonia solani. These pathogens attack the root system, compromising the plant's ability to absorb water and nutrients, which leads to stunted growth, wilting, and plant death. The diseases manifest through symptoms like yellowing of lower leaves, stunted growth, wilting during hot periods, and darkened, water-soaked roots that turn brown to black. The severity of these diseases increases under conditions of poor drainage, heavy clay soils, continuous pea cropping, and soil temperatures between 15-28°C with high moisture levels.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:13.216557
si_v2_paraph_69b4f872_34,paraphrase_quantity_focused,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,What is the recommended seed treatment dosage of Pseudomonas fluorescens for peas?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:14.207148
si_v2_paraph_69b4f872_35,paraphrase_timing_focused,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,At what stage of pea growth should I treat seeds with Pseudomonas fluorescens to manage root diseases?,Treat the seed with 15 g of Talc based formulation of Pseudomonas fluorescens per kg seed before sowing.,What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:15.242434
si_v2_paraph_69b4f872_36,paraphrase_regional_hindi,69b4f872c38a976c56f2388b,69b4f1e2c38a976c56f23805,Pea,Punjab,General,Rabi,Disease,Matar ki jameen me kya root diseases hoti hai aur unke upchar kaise kare?,"Matar ki jameen me root rot (Fusarium oxysporum aur Rhizoctonia solani ke karan) shamil hai. Ye jameen ke beej par attack karte hain aur pusti ko pani aur poushak nahi le sakti. Upar ke labon ke chhota hote hai, pusti chhoti hoti hai, aur jameen ke neeche jaise kala, jhola hua akar dekha jata hai. Aap 3-4 saal tak kisi bhi gaid ke baad kharap kare, sahi jameen chunne, seed ko chhakkar lagaye, aur KVK se sambandh kare.",What are the typical root diseases affecting peas and what are the effective management strategies?,2026-04-09T11:30:16.986686
